"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3476","User can login, add product to cart, and verify cart","","Wed Apr 30 12:54:46 GMT+03:00 2025","passed","Wed Apr 30 12:54:49 GMT+03:00 2025","","inventory.spec.ts","",""
"","3368","User should be able to login successfully","","Wed Apr 30 12:54:46 GMT+03:00 2025","passed","Wed Apr 30 12:54:49 GMT+03:00 2025","","login.spec.ts","",""
